,status,yyyymmdd,count
333,備用中,2005-07-26,98
334,備用中,2005-07-27,85
335,備用中,2005-07-28,7
336,備用中,2005-07-29,22
337,備用中,2005-07-30,50
338,備用中,2005-07-31,19
339,備用中,2005-08-01,10
340,備用中,2005-08-02,45
341,備用中,2005-08-03,80
342,備用中,2005-08-04,96
343,備用中,2005-08-05,40
344,備用中,2005-08-06,38
345,備用中,2005-08-07,51
346,備用中,2005-08-08,63
347,備用中,2005-08-09,64
348,備用中,2005-08-10,2
349,備用中,2005-08-11,21
350,備用中,2005-08-12,76
351,備用中,2005-08-13,60
352,備用中,2005-08-14,39
353,備用中,2005-08-15,62
354,備用中,2005-08-16,29
355,備用中,2005-08-17,43
356,備用中,2005-08-18,71
357,備用中,2005-08-19,40
358,備用中,2005-08-20,42
359,備用中,2005-08-21,65
360,備用中,2005-08-22,61
361,備用中,2005-08-23,34
362,備用中,2005-08-24,24
363,備用中,2005-08-25,10
364,備用中,2005-08-26,97
365,備用中,2005-08-27,6
366,備用中,2005-08-28,78
367,備用中,2005-08-29,64
368,備用中,2005-08-30,2
369,備用中,2005-08-31,17
370,備用中,2005-09-01,81
371,備用中,2005-09-02,20
372,備用中,2005-09-03,31
373,備用中,2005-09-04,46
374,備用中,2005-09-05,47
375,備用中,2005-09-06,30
376,備用中,2005-09-07,81
377,備用中,2005-09-08,85
378,備用中,2005-09-09,75
379,備用中,2005-09-10,90
380,備用中,2005-09-11,17
381,備用中,2005-09-12,78
382,備用中,2005-09-13,9
383,備用中,2005-09-14,88
384,備用中,2005-09-15,5
385,備用中,2005-09-16,83
386,備用中,2005-09-17,2
387,備用中,2005-09-18,50
388,備用中,2005-09-19,75
389,備用中,2005-09-20,14
390,備用中,2005-09-21,42
391,備用中,2005-09-22,76
392,備用中,2005-09-23,31
393,備用中,2005-09-24,38
394,備用中,2005-09-25,96
395,備用中,2005-09-26,14
396,備用中,2005-09-27,40
397,備用中,2005-09-28,40
398,備用中,2005-09-29,3
399,備用中,2005-09-30,91
400,備用中,2005-10-01,23
401,備用中,2005-10-02,92
402,備用中,2005-10-03,30
403,備用中,2005-10-04,100
404,備用中,2005-10-05,100
405,備用中,2005-10-06,76
406,備用中,2005-10-07,96
407,備用中,2005-10-08,39
408,備用中,2005-10-09,23
409,備用中,2005-10-10,67
410,備用中,2005-10-11,36
411,備用中,2005-10-12,61
412,備用中,2005-10-13,58
413,備用中,2005-10-14,99
414,備用中,2005-10-15,77
415,備用中,2005-10-16,75
416,備用中,2005-10-17,79
417,備用中,2005-10-18,4
418,備用中,2005-10-19,82
419,備用中,2005-10-20,27
420,備用中,2005-10-21,69
421,備用中,2005-10-22,87
422,備用中,2005-10-23,3
423,備用中,2005-10-24,5
424,備用中,2005-10-25,15
425,備用中,2005-10-26,18
426,備用中,2005-10-27,98
427,備用中,2005-10-28,86
428,備用中,2005-10-29,66
429,備用中,2005-10-30,65
430,備用中,2005-10-31,93
431,備用中,2005-11-01,69
432,備用中,2005-11-02,33
433,備用中,2005-11-03,20
434,備用中,2005-11-04,54
435,備用中,2005-11-05,47
436,備用中,2005-11-06,83
437,備用中,2005-11-07,68
438,備用中,2005-11-08,37
439,備用中,2005-11-09,71
440,備用中,2005-11-10,6
441,備用中,2005-11-11,18
442,備用中,2005-11-12,84
443,備用中,2005-11-13,20
444,備用中,2005-11-14,31
445,備用中,2005-11-15,32
446,備用中,2005-11-16,48
447,備用中,2005-11-17,1
448,備用中,2005-11-18,18
449,備用中,2005-11-19,28
450,備用中,2005-11-20,100
451,備用中,2005-11-21,83
452,備用中,2005-11-22,60
453,備用中,2005-11-23,38
454,備用中,2005-11-24,78
455,備用中,2005-11-25,67
456,備用中,2005-11-26,1
457,備用中,2005-11-27,37
458,備用中,2005-11-28,44
459,備用中,2005-11-29,45
460,備用中,2005-11-30,54
461,備用中,2005-12-01,53
462,備用中,2005-12-02,61
463,備用中,2005-12-03,87
464,備用中,2005-12-04,21
465,備用中,2005-12-05,76
466,備用中,2005-12-06,32
467,備用中,2005-12-07,62
468,備用中,2005-12-08,39
469,備用中,2005-12-09,35
470,備用中,2005-12-10,90
471,備用中,2005-12-11,21
472,備用中,2005-12-12,77
473,備用中,2005-12-13,78
474,備用中,2005-12-14,32
475,備用中,2005-12-15,4
476,備用中,2005-12-16,100
477,備用中,2005-12-17,72
478,備用中,2005-12-18,6
479,備用中,2005-12-19,39
480,備用中,2005-12-20,72
481,備用中,2005-12-21,3
482,備用中,2005-12-22,96
483,備用中,2005-12-23,96
484,備用中,2005-12-24,81
485,備用中,2005-12-25,29
486,備用中,2005-12-26,33
487,備用中,2005-12-27,62
488,備用中,2005-12-28,96
489,備用中,2005-12-29,75
490,備用中,2005-12-30,61
491,備用中,2005-12-31,6
492,備用中,2006-01-01,70
493,備用中,2006-01-02,39
494,備用中,2006-01-03,70
495,備用中,2006-01-04,59
496,備用中,2006-01-05,66
497,備用中,2006-01-06,89
498,備用中,2006-01-07,10
499,備用中,2006-01-08,46
500,備用中,2006-01-09,77
501,備用中,2006-01-10,56
502,備用中,2006-01-11,31
503,備用中,2006-01-12,14
504,備用中,2006-01-13,79
505,備用中,2006-01-14,85
506,備用中,2006-01-15,15
507,備用中,2006-01-16,32
508,備用中,2006-01-17,74
509,備用中,2006-01-18,23
510,備用中,2006-01-19,1
511,備用中,2006-01-20,19
512,備用中,2006-01-21,57
513,備用中,2006-01-22,9
514,備用中,2006-01-23,89
515,備用中,2006-01-24,98
516,備用中,2006-01-25,2
517,備用中,2006-01-26,29
518,備用中,2006-01-27,18
519,備用中,2006-01-28,6
520,備用中,2006-01-29,18
521,備用中,2006-01-30,92
522,備用中,2006-01-31,91
523,備用中,2006-02-01,98
524,備用中,2006-02-02,50
525,備用中,2006-02-03,90
526,備用中,2006-02-04,40
527,備用中,2006-02-05,87
528,備用中,2006-02-06,50
529,備用中,2006-02-07,8
530,備用中,2006-02-08,56
531,備用中,2006-02-09,3
532,備用中,2006-02-10,51
533,備用中,2006-02-11,79
534,備用中,2006-02-12,92
535,備用中,2006-02-13,50
536,備用中,2006-02-14,75
537,備用中,2006-02-15,43
538,備用中,2006-02-16,3
539,備用中,2006-02-17,72
540,備用中,2006-02-18,8
541,備用中,2006-02-19,47
542,備用中,2006-02-20,51
543,備用中,2006-02-21,88
544,備用中,2006-02-22,92
545,備用中,2006-02-23,19
546,備用中,2006-02-24,30
547,備用中,2006-02-25,24
548,備用中,2006-02-26,63
549,備用中,2006-02-27,48
550,備用中,2006-02-28,97
551,備用中,2006-03-01,61
552,備用中,2006-03-02,79
553,備用中,2006-03-03,26
554,備用中,2006-03-04,21
555,備用中,2006-03-05,43
556,備用中,2006-03-06,24
557,備用中,2006-03-07,51
558,備用中,2006-03-08,39
559,備用中,2006-03-09,39
560,備用中,2006-03-10,83
561,備用中,2006-03-11,1
562,備用中,2006-03-12,17
563,備用中,2006-03-13,99
564,備用中,2006-03-14,6
565,備用中,2006-03-15,38
566,備用中,2006-03-16,95
567,備用中,2006-03-17,71
568,備用中,2006-03-18,70
569,備用中,2006-03-19,35
570,備用中,2006-03-20,72
571,備用中,2006-03-21,51
572,備用中,2006-03-22,10
573,備用中,2006-03-23,2
574,備用中,2006-03-24,34
575,備用中,2006-03-25,39
576,備用中,2006-03-26,60
577,備用中,2006-03-27,42
578,備用中,2006-03-28,24
579,備用中,2006-03-29,87
580,備用中,2006-03-30,37
581,備用中,2006-03-31,46
582,備用中,2006-04-01,76
583,備用中,2006-04-02,77
584,備用中,2006-04-03,61
585,備用中,2006-04-04,66
586,備用中,2006-04-05,43
587,備用中,2006-04-06,57
588,備用中,2006-04-07,78
589,備用中,2006-04-08,58
590,備用中,2006-04-09,49
591,備用中,2006-04-10,77
592,備用中,2006-04-11,93
593,備用中,2006-04-12,3
594,備用中,2006-04-13,77
595,備用中,2006-04-14,98
596,備用中,2006-04-15,79
597,備用中,2006-04-16,55
598,備用中,2006-04-17,7
599,備用中,2006-04-18,31
600,備用中,2006-04-19,59
601,備用中,2006-04-20,96
602,備用中,2006-04-21,51
603,備用中,2006-04-22,84
604,備用中,2006-04-23,47
605,備用中,2006-04-24,100
606,備用中,2006-04-25,26
607,備用中,2006-04-26,94
608,備用中,2006-04-27,26
609,備用中,2006-04-28,17
610,備用中,2006-04-29,89
611,備用中,2006-04-30,8
612,備用中,2006-05-01,37
613,備用中,2006-05-02,37
614,備用中,2006-05-03,45
615,備用中,2006-05-04,1
616,備用中,2006-05-05,86
617,備用中,2006-05-06,90
618,備用中,2006-05-07,53
619,備用中,2006-05-08,89
620,備用中,2006-05-09,23
621,備用中,2006-05-10,98
622,備用中,2006-05-11,85
623,備用中,2006-05-12,44
624,備用中,2006-05-13,99
625,備用中,2006-05-14,16
626,備用中,2006-05-15,47
627,備用中,2006-05-16,58
628,備用中,2006-05-17,73
629,備用中,2006-05-18,99
630,備用中,2006-05-19,56
631,備用中,2006-05-20,59
632,備用中,2006-05-21,55
633,備用中,2006-05-22,80
634,備用中,2006-05-23,73
635,備用中,2006-05-24,12
636,備用中,2006-05-25,84
637,備用中,2006-05-26,93
638,備用中,2006-05-27,25
639,備用中,2006-05-28,95
640,備用中,2006-05-29,75
641,備用中,2006-05-30,74
642,備用中,2006-05-31,74
643,備用中,2006-06-01,33
644,備用中,2006-06-02,68
645,備用中,2006-06-03,72
646,備用中,2006-06-04,81
647,備用中,2006-06-05,37
648,備用中,2006-06-06,95
649,備用中,2006-06-07,91
650,備用中,2006-06-08,33
651,備用中,2006-06-09,5
652,備用中,2006-06-10,37
653,備用中,2006-06-11,48
654,備用中,2006-06-12,44
655,備用中,2006-06-13,67
656,備用中,2006-06-14,32
657,備用中,2006-06-15,63
658,備用中,2006-06-16,62
659,備用中,2006-06-17,1
660,備用中,2006-06-18,85
661,備用中,2006-06-19,79
662,備用中,2006-06-20,46
663,備用中,2006-06-21,96
664,備用中,2006-06-22,26
665,備用中,2006-06-23,73
666,備用中,2006-06-24,75
667,備用中,2006-06-25,59
668,備用中,2006-06-26,87
669,備用中,2006-06-27,9
670,備用中,2006-06-28,4
671,備用中,2006-06-29,82
672,備用中,2006-06-30,27
673,備用中,2006-07-01,63
674,備用中,2006-07-02,29
675,備用中,2006-07-03,36
676,備用中,2006-07-04,99
677,備用中,2006-07-05,93
678,備用中,2006-07-06,17
679,備用中,2006-07-07,52
680,備用中,2006-07-08,32
681,備用中,2006-07-09,34
682,備用中,2006-07-10,67
683,備用中,2006-07-11,2
684,備用中,2006-07-12,60
685,備用中,2006-07-13,5
686,備用中,2006-07-14,7
687,備用中,2006-07-15,16
688,備用中,2006-07-16,48
689,備用中,2006-07-17,13
690,備用中,2006-07-18,87
691,備用中,2006-07-19,1
692,備用中,2006-07-20,89
693,備用中,2006-07-21,66
694,備用中,2006-07-22,77
695,備用中,2006-07-23,43
696,備用中,2006-07-24,34
697,備用中,2006-07-25,50
698,備用中,2006-07-26,99
699,備用中,2006-07-27,25
700,備用中,2006-07-28,50
701,備用中,2006-07-29,71
702,備用中,2006-07-30,78
703,備用中,2006-07-31,79
704,備用中,2006-08-01,67
705,備用中,2006-08-02,13
706,備用中,2006-08-03,92
707,備用中,2006-08-04,38
708,備用中,2006-08-05,78
709,備用中,2006-08-06,32
710,備用中,2006-08-07,81
711,備用中,2006-08-08,32
712,備用中,2006-08-09,3
713,備用中,2006-08-10,21
714,備用中,2006-08-11,27
715,備用中,2006-08-12,67
716,備用中,2006-08-13,14
717,備用中,2006-08-14,100
718,備用中,2006-08-15,34
719,備用中,2006-08-16,49
720,備用中,2006-08-17,4
721,備用中,2006-08-18,13
722,備用中,2006-08-19,81
723,備用中,2006-08-20,74
724,備用中,2006-08-21,13
725,備用中,2006-08-22,27
726,備用中,2006-08-23,80
727,備用中,2006-08-24,100
728,備用中,2006-08-25,68
729,備用中,2006-08-26,43
730,備用中,2006-08-27,39
731,備用中,2006-08-28,66
732,備用中,2006-08-29,43
733,備用中,2006-08-30,44
734,備用中,2006-08-31,23
735,備用中,2006-09-01,2
736,備用中,2006-09-02,97
737,備用中,2006-09-03,74
738,備用中,2006-09-04,4
739,備用中,2006-09-05,80
740,備用中,2006-09-06,94
741,備用中,2006-09-07,39
742,備用中,2006-09-08,55
743,備用中,2006-09-09,82
744,備用中,2006-09-10,37
745,備用中,2006-09-11,8
746,備用中,2006-09-12,26
747,備用中,2006-09-13,73
748,備用中,2006-09-14,16
749,備用中,2006-09-15,65
750,備用中,2006-09-16,91
751,備用中,2006-09-17,1
752,備用中,2006-09-18,76
753,備用中,2006-09-19,14
754,備用中,2006-09-20,11
755,備用中,2006-09-21,74
756,備用中,2006-09-22,29
757,備用中,2006-09-23,54
758,備用中,2006-09-24,85
759,備用中,2006-09-25,13
760,備用中,2006-09-26,78
761,備用中,2006-09-27,67
762,備用中,2006-09-28,11
763,備用中,2006-09-29,50
764,備用中,2006-09-30,21
765,備用中,2006-10-01,10
766,備用中,2006-10-02,88
767,備用中,2006-10-03,4
768,備用中,2006-10-04,70
769,備用中,2006-10-05,37
770,備用中,2006-10-06,23
771,備用中,2006-10-07,11
772,備用中,2006-10-08,84
773,備用中,2006-10-09,24
774,備用中,2006-10-10,2
775,備用中,2006-10-11,51
776,備用中,2006-10-12,92
777,備用中,2006-10-13,87
778,備用中,2006-10-14,3
779,備用中,2006-10-15,92
780,備用中,2006-10-16,16
781,備用中,2006-10-17,28
782,備用中,2006-10-18,25
783,備用中,2006-10-19,26
784,備用中,2006-10-20,10
785,備用中,2006-10-21,63
786,備用中,2006-10-22,84
787,備用中,2006-10-23,34
788,備用中,2006-10-24,34
789,備用中,2006-10-25,25
790,備用中,2006-10-26,60
791,備用中,2006-10-27,20
792,備用中,2006-10-28,68
793,備用中,2006-10-29,1
794,備用中,2006-10-30,22
795,備用中,2006-10-31,51
796,備用中,2006-11-01,71
797,備用中,2006-11-02,20
798,備用中,2006-11-03,85
799,備用中,2006-11-04,88
800,備用中,2006-11-05,20
801,備用中,2006-11-06,57
802,備用中,2006-11-07,2
803,備用中,2006-11-08,12
804,備用中,2006-11-09,58
805,備用中,2006-11-10,58
806,備用中,2006-11-11,92
807,備用中,2006-11-12,65
808,備用中,2006-11-13,87
809,備用中,2006-11-14,25
810,備用中,2006-11-15,16
811,備用中,2006-11-16,48
812,備用中,2006-11-17,65
813,備用中,2006-11-18,63
814,備用中,2006-11-19,80
815,備用中,2006-11-20,16
816,備用中,2006-11-21,41
817,備用中,2006-11-22,72
818,備用中,2006-11-23,20
819,備用中,2006-11-24,65
820,備用中,2006-11-25,24
821,備用中,2006-11-26,73
822,備用中,2006-11-27,25
823,備用中,2006-11-28,38
824,備用中,2006-11-29,53
825,備用中,2006-11-30,38
826,備用中,2006-12-01,15
827,備用中,2006-12-02,8
828,備用中,2006-12-03,14
829,備用中,2006-12-04,66
830,備用中,2006-12-05,60
831,備用中,2006-12-06,70
832,備用中,2006-12-07,4
833,備用中,2006-12-08,27
834,備用中,2006-12-09,90
835,備用中,2006-12-10,78
836,備用中,2006-12-11,39
837,備用中,2006-12-12,13
838,備用中,2006-12-13,61
839,備用中,2006-12-14,26
840,備用中,2006-12-15,42
841,備用中,2006-12-16,32
842,備用中,2006-12-17,32
843,備用中,2006-12-18,18
844,備用中,2006-12-19,49
845,備用中,2006-12-20,34
846,備用中,2006-12-21,76
847,備用中,2006-12-22,54
848,備用中,2006-12-23,94
849,備用中,2006-12-24,69
850,備用中,2006-12-25,68
851,備用中,2006-12-26,25
852,備用中,2006-12-27,88
853,備用中,2006-12-28,27
854,備用中,2006-12-29,28
855,備用中,2006-12-30,46
856,備用中,2006-12-31,33
857,備用中,2007-01-01,18
858,備用中,2007-01-02,84
859,備用中,2007-01-03,35
860,備用中,2007-01-04,76
861,備用中,2007-01-05,86
862,備用中,2007-01-06,75
863,備用中,2007-01-07,22
864,備用中,2007-01-08,49
865,備用中,2007-01-09,24
866,備用中,2007-01-10,19
867,備用中,2007-01-11,54
868,備用中,2007-01-12,7
869,備用中,2007-01-13,30
870,備用中,2007-01-14,35
871,備用中,2007-01-15,57
872,備用中,2007-01-16,100
873,備用中,2007-01-17,8
874,備用中,2007-01-18,45
875,備用中,2007-01-19,88
876,備用中,2007-01-20,25
877,備用中,2007-01-21,74
878,備用中,2007-01-22,36
879,備用中,2007-01-23,35
880,備用中,2007-01-24,49
881,備用中,2007-01-25,97
882,備用中,2007-01-26,5
883,備用中,2007-01-27,69
