ts,route_name,ddcp,driven_distance,total_charging_estimation_kw,car_used_percentage
2008-05-20,E04燕巢學園快線,98,61,51,29
2008-05-21,E04燕巢學園快線,24,56,96,81
2008-05-22,E04燕巢學園快線,17,59,74,73
2008-05-23,E04燕巢學園快線,28,32,43,31
2008-05-24,E04燕巢學園快線,30,72,32,60
2008-05-25,E04燕巢學園快線,15,30,81,56
2008-05-26,E04燕巢學園快線,53,44,64,6
2008-05-27,E04燕巢學園快線,97,33,58,4
2008-05-28,E04燕巢學園快線,41,89,28,4
2008-05-29,E04燕巢學園快線,92,93,31,78
2008-05-30,E04燕巢學園快線,63,96,7,17
2008-05-31,E04燕巢學園快線,13,90,1,28
2008-06-01,E04燕巢學園快線,93,73,3,21
2008-06-02,E04燕巢學園快線,33,44,82,25
2008-06-03,E04燕巢學園快線,83,63,26,66
2008-06-04,E04燕巢學園快線,9,96,57,64
2008-06-05,E04燕巢學園快線,46,52,44,75
2008-06-06,E04燕巢學園快線,20,47,33,38
2008-06-07,E04燕巢學園快線,47,9,22,72
2008-06-08,E04燕巢學園快線,8,35,25,96
2008-06-09,E04燕巢學園快線,56,81,8,60
2008-06-10,E04燕巢學園快線,58,76,91,73
2008-06-11,E04燕巢學園快線,46,80,30,64
2008-06-12,E04燕巢學園快線,42,84,3,67
2008-06-13,E04燕巢學園快線,30,8,68,28
2008-06-14,E04燕巢學園快線,60,53,18,72
2008-06-15,E04燕巢學園快線,98,42,96,75
2008-06-16,E04燕巢學園快線,68,87,16,11
2008-06-17,E04燕巢學園快線,40,25,23,86
2008-06-18,E04燕巢學園快線,97,59,26,29
2008-06-19,E04燕巢學園快線,41,65,78,40
2008-06-20,E04燕巢學園快線,5,80,53,11
2008-06-21,E04燕巢學園快線,88,54,93,1
2008-06-22,E04燕巢學園快線,2,52,39,75
2008-06-23,E04燕巢學園快線,50,30,78,76
2008-06-24,E04燕巢學園快線,33,26,6,47
2008-06-25,E04燕巢學園快線,68,65,63,15
2008-06-26,E04燕巢學園快線,70,98,17,98
2008-06-27,E04燕巢學園快線,76,6,96,27
2008-06-28,E04燕巢學園快線,97,46,16,67
2008-06-29,E04燕巢學園快線,88,100,71,16
2008-06-30,E04燕巢學園快線,66,14,88,100
2008-07-01,E04燕巢學園快線,22,49,76,32
2008-07-02,E04燕巢學園快線,85,100,32,87
2008-07-03,E04燕巢學園快線,6,25,57,13
2008-07-04,E04燕巢學園快線,94,3,2,88
2008-07-05,E04燕巢學園快線,78,66,55,53
2008-07-06,E04燕巢學園快線,56,63,95,7
2008-07-07,E04燕巢學園快線,58,73,14,65
2008-07-08,E04燕巢學園快線,15,13,51,19
2008-07-09,E04燕巢學園快線,68,92,15,70
2008-07-10,E04燕巢學園快線,69,62,41,2
2008-07-11,E04燕巢學園快線,66,69,15,33
2008-07-12,E04燕巢學園快線,1,24,82,30
2008-07-13,E04燕巢學園快線,43,87,50,54
2008-07-14,E04燕巢學園快線,76,58,43,3
2008-07-15,E04燕巢學園快線,77,99,12,18
2008-07-16,E04燕巢學園快線,94,68,78,43
2008-07-17,E04燕巢學園快線,35,1,61,15
2008-07-18,E04燕巢學園快線,54,45,32,3
2008-07-19,E04燕巢學園快線,70,9,78,22
2008-07-20,E04燕巢學園快線,80,90,7,7
2008-07-21,E04燕巢學園快線,68,42,71,33
2008-07-22,E04燕巢學園快線,84,99,40,48
2008-07-23,E04燕巢學園快線,19,10,64,67
2008-07-24,E04燕巢學園快線,62,67,40,31
2008-07-25,E04燕巢學園快線,50,84,81,79
2008-07-26,E04燕巢學園快線,73,24,68,69
2008-07-27,E04燕巢學園快線,37,71,19,44
2008-07-28,E04燕巢學園快線,17,100,31,86
2008-07-29,E04燕巢學園快線,19,43,47,44
2008-07-30,E04燕巢學園快線,54,71,48,62
2008-07-31,E04燕巢學園快線,64,100,3,100
2008-08-01,E04燕巢學園快線,56,100,27,19
2008-08-02,E04燕巢學園快線,66,81,91,82
2008-08-03,E04燕巢學園快線,93,92,90,18
2008-08-04,E04燕巢學園快線,45,18,54,47
2008-08-05,E04燕巢學園快線,12,33,89,70
2008-08-06,E04燕巢學園快線,3,85,79,17
2008-08-07,E04燕巢學園快線,64,43,40,56
2008-08-08,E04燕巢學園快線,84,55,11,86
2008-08-09,E04燕巢學園快線,70,67,24,81
2008-08-10,E04燕巢學園快線,94,15,91,68
2008-08-11,E04燕巢學園快線,8,87,61,83
2008-08-12,E04燕巢學園快線,12,79,86,36
2008-08-13,E04燕巢學園快線,45,28,69,21
2008-08-14,E04燕巢學園快線,59,30,16,64
2008-08-15,E04燕巢學園快線,15,43,93,37
2008-08-16,E04燕巢學園快線,38,14,82,42
2008-08-17,E04燕巢學園快線,50,83,91,58
2008-08-18,E04燕巢學園快線,69,65,63,19
2008-08-19,E04燕巢學園快線,81,32,9,71
2008-08-20,E04燕巢學園快線,32,72,77,100
2008-08-21,E04燕巢學園快線,98,8,85,12
2008-08-22,E04燕巢學園快線,99,84,15,40
2008-08-23,E04燕巢學園快線,13,53,62,25
2008-08-24,E04燕巢學園快線,45,91,67,33
2008-08-25,E04燕巢學園快線,15,8,92,95
2008-08-26,E04燕巢學園快線,78,8,46,60
2008-08-27,E04燕巢學園快線,35,8,47,41
2008-08-28,E04燕巢學園快線,60,23,8,71
2008-08-29,E04燕巢學園快線,89,78,55,93
2008-08-30,E04燕巢學園快線,44,54,29,36
2008-08-31,E04燕巢學園快線,36,41,23,87
2008-09-01,E04燕巢學園快線,79,26,50,51
2008-09-02,E04燕巢學園快線,70,100,73,35
2008-09-03,E04燕巢學園快線,79,6,67,94
2008-09-04,E04燕巢學園快線,38,82,22,50
2008-09-05,E04燕巢學園快線,80,26,43,92
2008-09-06,E04燕巢學園快線,71,76,91,42
2008-09-07,E04燕巢學園快線,41,99,99,1
2008-09-08,E04燕巢學園快線,19,17,4,39
2008-09-09,E04燕巢學園快線,88,61,97,63
2008-09-10,E04燕巢學園快線,75,44,26,4
2008-09-11,E04燕巢學園快線,41,87,2,96
2008-09-12,E04燕巢學園快線,25,90,36,55
2008-09-13,E04燕巢學園快線,19,3,39,46
2008-09-14,E04燕巢學園快線,3,30,57,83
2008-09-15,E04燕巢學園快線,15,33,75,99
2008-09-16,E04燕巢學園快線,77,86,6,44
2008-09-17,E04燕巢學園快線,90,40,13,45
2008-09-18,E04燕巢學園快線,58,88,62,93
2008-09-19,E04燕巢學園快線,38,1,56,96
2008-09-20,E04燕巢學園快線,10,24,22,64
2008-09-21,E04燕巢學園快線,14,83,52,44
2008-09-22,E04燕巢學園快線,52,46,72,41
2008-09-23,E04燕巢學園快線,15,81,55,42
2008-09-24,E04燕巢學園快線,15,67,33,98
2008-09-25,E04燕巢學園快線,71,45,42,3
2008-09-26,E04燕巢學園快線,13,66,50,76
2008-09-27,E04燕巢學園快線,18,46,92,55
2008-09-28,E04燕巢學園快線,63,45,80,5
2008-09-29,E04燕巢學園快線,13,45,44,6
2008-09-30,E04燕巢學園快線,3,76,3,66
2008-10-01,E04燕巢學園快線,66,25,98,32
2008-10-02,E04燕巢學園快線,67,17,34,57
2008-10-03,E04燕巢學園快線,22,77,82,7
2008-10-04,E04燕巢學園快線,21,65,31,64
2008-10-05,E04燕巢學園快線,71,34,10,80
2008-10-06,E04燕巢學園快線,12,71,29,54
2008-10-07,E04燕巢學園快線,44,10,52,73
2008-10-08,E04燕巢學園快線,37,93,60,34
2008-10-09,E04燕巢學園快線,32,94,60,56
2008-10-10,E04燕巢學園快線,70,73,83,4
2008-10-11,E04燕巢學園快線,85,98,85,28
2008-10-12,E04燕巢學園快線,62,89,52,40
2008-10-13,E04燕巢學園快線,93,54,29,31
2008-10-14,E04燕巢學園快線,90,24,58,51
2008-10-15,E04燕巢學園快線,70,61,95,27
2008-10-16,E04燕巢學園快線,14,5,85,34
2008-10-17,E04燕巢學園快線,19,18,10,7
2008-10-18,E04燕巢學園快線,64,2,66,40
2008-10-19,E04燕巢學園快線,82,15,52,53
2008-10-20,E04燕巢學園快線,61,9,25,68
2008-10-21,E04燕巢學園快線,77,76,86,2
2008-10-22,E04燕巢學園快線,1,83,6,45
2008-10-23,E04燕巢學園快線,81,25,73,10
2008-10-24,E04燕巢學園快線,21,95,25,48
2008-10-25,E04燕巢學園快線,58,56,61,18
2008-10-26,E04燕巢學園快線,58,88,46,90
2008-10-27,E04燕巢學園快線,63,89,98,79
2008-10-28,E04燕巢學園快線,91,92,93,31
2008-10-29,E04燕巢學園快線,71,23,81,70
2008-10-30,E04燕巢學園快線,61,15,24,23
2008-10-31,E04燕巢學園快線,64,60,62,25
2008-11-01,E04燕巢學園快線,43,47,36,53
2008-11-02,E04燕巢學園快線,59,56,62,59
2008-11-03,E04燕巢學園快線,47,24,55,18
2008-11-04,E04燕巢學園快線,26,30,1,69
2008-11-05,E04燕巢學園快線,76,71,99,79
2008-11-06,E04燕巢學園快線,77,69,6,45
2008-11-07,E04燕巢學園快線,67,35,38,37
2008-11-08,E04燕巢學園快線,46,61,50,64
2008-11-09,E04燕巢學園快線,21,67,73,1
2008-11-10,E04燕巢學園快線,78,49,20,2
2008-11-11,E04燕巢學園快線,99,70,2,4
2008-11-12,E04燕巢學園快線,67,68,67,58
2008-11-13,E04燕巢學園快線,76,79,48,3
2008-11-14,E04燕巢學園快線,66,38,14,7
2008-11-15,E04燕巢學園快線,33,51,53,24
2008-11-16,E04燕巢學園快線,86,32,32,60
2008-11-17,E04燕巢學園快線,27,22,5,33
2008-11-18,E04燕巢學園快線,18,45,40,5
2008-11-19,E04燕巢學園快線,37,68,2,54
2008-11-20,E04燕巢學園快線,59,2,75,15
2008-11-21,E04燕巢學園快線,12,100,51,58
2008-11-22,E04燕巢學園快線,20,49,73,15
2008-11-23,E04燕巢學園快線,32,94,11,71
2008-11-24,E04燕巢學園快線,74,85,22,59
2008-11-25,E04燕巢學園快線,38,59,4,63
2008-11-26,E04燕巢學園快線,40,61,77,30
2008-11-27,E04燕巢學園快線,21,24,57,68
2008-11-28,E04燕巢學園快線,78,81,28,89
2008-11-29,E04燕巢學園快線,72,100,78,73
2008-11-30,E04燕巢學園快線,15,14,78,35
2008-12-01,E04燕巢學園快線,30,27,48,80
2008-12-02,E04燕巢學園快線,21,28,69,50
2008-12-03,E04燕巢學園快線,63,17,48,42
2008-12-04,E04燕巢學園快線,29,30,42,18
2008-12-05,E04燕巢學園快線,5,78,76,61
2008-12-06,E04燕巢學園快線,82,8,64,22
2008-12-07,E04燕巢學園快線,51,46,73,38
2008-12-08,E04燕巢學園快線,15,71,87,86
2008-12-09,E04燕巢學園快線,76,96,80,28
2008-12-10,E04燕巢學園快線,82,28,5,81
2008-12-11,E04燕巢學園快線,32,8,54,8
2008-12-12,E04燕巢學園快線,27,55,57,52
2008-12-13,E04燕巢學園快線,40,18,13,83
2008-12-14,E04燕巢學園快線,36,60,44,66
2008-12-15,E04燕巢學園快線,65,91,63,64
2008-12-16,E04燕巢學園快線,74,56,88,71
2008-12-17,E04燕巢學園快線,73,38,31,85
2008-12-18,E04燕巢學園快線,22,48,75,18
2008-12-19,E04燕巢學園快線,72,58,63,95
2008-12-20,E04燕巢學園快線,41,43,71,47
2008-12-21,E04燕巢學園快線,80,24,71,26
2008-12-22,E04燕巢學園快線,47,83,14,53
2008-12-23,E04燕巢學園快線,89,62,74,63
2008-12-24,E04燕巢學園快線,28,44,84,77
2008-12-25,E04燕巢學園快線,25,73,63,24
2008-12-26,E04燕巢學園快線,93,43,11,14
2008-12-27,E04燕巢學園快線,6,44,51,64
2008-12-28,E04燕巢學園快線,41,2,86,97
2008-12-29,E04燕巢學園快線,88,45,38,40
2008-12-30,E04燕巢學園快線,96,64,86,10
2008-12-31,E04燕巢學園快線,29,61,15,7
2009-01-01,E04燕巢學園快線,57,67,41,24
2009-01-02,E04燕巢學園快線,62,32,76,93
2009-01-03,E04燕巢學園快線,95,50,44,51
2009-01-04,E04燕巢學園快線,92,34,73,50
2009-01-05,E04燕巢學園快線,78,33,70,64
2009-01-06,E04燕巢學園快線,50,75,48,47
2009-01-07,E04燕巢學園快線,15,97,36,58
2009-01-08,E04燕巢學園快線,60,12,16,96
2009-01-09,E04燕巢學園快線,44,86,65,77
2009-01-10,E04燕巢學園快線,88,25,96,93
2009-01-11,E04燕巢學園快線,4,44,19,35
2009-01-12,E04燕巢學園快線,69,69,61,50
2009-01-13,E04燕巢學園快線,37,28,66,41
2009-01-14,E04燕巢學園快線,79,85,19,94
2009-01-15,E04燕巢學園快線,43,93,24,18
2009-01-16,E04燕巢學園快線,27,73,33,92
2009-01-17,E04燕巢學園快線,53,33,20,24
2009-01-18,E04燕巢學園快線,88,87,48,60
2009-01-19,E04燕巢學園快線,59,60,51,48
2009-01-20,E04燕巢學園快線,71,64,57,76
2009-01-21,E04燕巢學園快線,84,72,79,63
2009-01-22,E04燕巢學園快線,48,23,43,40
2009-01-23,E04燕巢學園快線,80,57,30,53
2009-01-24,E04燕巢學園快線,95,59,68,4
2009-01-25,E04燕巢學園快線,15,57,74,12
2009-01-26,E04燕巢學園快線,90,50,95,69
2009-01-27,E04燕巢學園快線,10,37,31,4
2009-01-28,E04燕巢學園快線,72,63,37,55
2009-01-29,E04燕巢學園快線,5,9,42,11
2009-01-30,E04燕巢學園快線,48,83,74,40
2009-01-31,E04燕巢學園快線,54,79,48,28
2009-02-01,E04燕巢學園快線,78,59,10,35
2009-02-02,E04燕巢學園快線,44,63,71,90
2009-02-03,E04燕巢學園快線,22,100,27,73
2009-02-04,E04燕巢學園快線,100,23,78,6
2009-02-05,E04燕巢學園快線,94,73,92,32
2009-02-06,E04燕巢學園快線,2,65,22,11
2009-02-07,E04燕巢學園快線,22,95,73,4
2009-02-08,E04燕巢學園快線,12,89,49,91
2009-02-09,E04燕巢學園快線,14,91,86,49
2009-02-10,E04燕巢學園快線,92,72,51,74
2009-02-11,E04燕巢學園快線,76,17,93,64
2009-02-12,E04燕巢學園快線,67,85,71,90
2009-02-13,E04燕巢學園快線,91,70,61,74
2009-02-14,E04燕巢學園快線,9,72,5,97
2009-02-15,E04燕巢學園快線,60,99,11,70
2009-02-16,E04燕巢學園快線,32,72,16,83
2009-02-17,E04燕巢學園快線,66,56,28,3
2009-02-18,E04燕巢學園快線,7,87,76,16
2009-02-19,E04燕巢學園快線,72,17,74,65
2009-02-20,E04燕巢學園快線,68,15,59,73
2009-02-21,E04燕巢學園快線,89,70,54,88
2009-02-22,E04燕巢學園快線,49,62,49,51
2009-02-23,E04燕巢學園快線,41,51,2,19
2009-02-24,E04燕巢學園快線,95,62,90,100
2009-02-25,E04燕巢學園快線,79,57,31,11
2009-02-26,E04燕巢學園快線,24,96,96,85
2009-02-27,E04燕巢學園快線,58,86,1,97
2009-02-28,E04燕巢學園快線,55,35,90,87
2009-03-01,E04燕巢學園快線,8,59,42,80
2009-03-02,E04燕巢學園快線,92,3,79,23
2009-03-03,E04燕巢學園快線,9,3,58,78
2009-03-04,E04燕巢學園快線,100,49,61,74
2009-03-05,E04燕巢學園快線,11,19,69,80
2009-03-06,E04燕巢學園快線,7,19,14,32
2009-03-07,E04燕巢學園快線,73,68,79,34
2009-03-08,E04燕巢學園快線,36,37,14,15
2009-03-09,E04燕巢學園快線,85,83,58,27
2009-03-10,E04燕巢學園快線,37,48,34,16
2009-03-11,E04燕巢學園快線,47,18,82,15
2009-03-12,E04燕巢學園快線,27,89,96,98
2009-03-13,E04燕巢學園快線,86,30,4,80
2009-03-14,E04燕巢學園快線,25,23,50,88
2009-03-15,E04燕巢學園快線,50,30,72,50
2009-03-16,E04燕巢學園快線,90,57,98,99
2009-03-17,E04燕巢學園快線,39,41,75,80
2009-03-18,E04燕巢學園快線,89,56,61,63
2009-03-19,E04燕巢學園快線,100,21,9,89
2009-03-20,E04燕巢學園快線,73,99,8,20
2009-03-21,E04燕巢學園快線,25,28,15,61
2009-03-22,E04燕巢學園快線,34,79,45,21
2009-03-23,E04燕巢學園快線,25,44,71,36
2009-03-24,E04燕巢學園快線,2,62,46,2
2009-03-25,E04燕巢學園快線,41,68,94,83
2009-03-26,E04燕巢學園快線,20,26,96,32
2009-03-27,E04燕巢學園快線,89,11,86,46
2009-03-28,E04燕巢學園快線,40,27,11,100
2009-03-29,E04燕巢學園快線,41,67,63,40
2009-03-30,E04燕巢學園快線,19,18,54,22
2009-03-31,E04燕巢學園快線,72,88,92,51
2009-04-01,E04燕巢學園快線,56,67,23,29
2009-04-02,E04燕巢學園快線,4,75,58,46
2009-04-03,E04燕巢學園快線,40,31,22,73
2009-04-04,E04燕巢學園快線,58,6,17,98
2009-04-05,E04燕巢學園快線,91,26,90,57
2009-04-06,E04燕巢學園快線,99,77,93,91
2009-04-07,E04燕巢學園快線,18,48,49,57
2009-04-08,E04燕巢學園快線,50,4,71,44
2009-04-09,E04燕巢學園快線,11,14,97,57
2009-04-10,E04燕巢學園快線,65,29,36,10
2009-04-11,E04燕巢學園快線,23,83,6,40
2009-04-12,E04燕巢學園快線,9,21,2,58
2009-04-13,E04燕巢學園快線,78,20,92,76
2009-04-14,E04燕巢學園快線,87,98,16,43
2009-04-15,E04燕巢學園快線,60,25,38,56
2009-04-16,E04燕巢學園快線,19,48,12,62
2009-04-17,E04燕巢學園快線,82,33,24,85
2009-04-18,E04燕巢學園快線,33,55,32,57
2009-04-19,E04燕巢學園快線,44,24,12,66
2009-04-20,E04燕巢學園快線,49,16,19,31
2009-04-21,E04燕巢學園快線,41,22,5,31
2009-04-22,E04燕巢學園快線,83,23,23,80
2009-04-23,E04燕巢學園快線,46,42,100,93
2009-04-24,E04燕巢學園快線,37,85,54,90
2009-04-25,E04燕巢學園快線,42,14,5,70
2009-04-26,E04燕巢學園快線,87,68,61,58
2009-04-27,E04燕巢學園快線,92,61,65,31
2009-04-28,E04燕巢學園快線,27,74,1,11
2009-04-29,E04燕巢學園快線,62,66,38,79
2009-04-30,E04燕巢學園快線,65,59,25,62
2009-05-01,E04燕巢學園快線,83,52,92,95
2009-05-02,E04燕巢學園快線,3,99,32,84
2009-05-03,E04燕巢學園快線,10,58,72,70
2009-05-04,E04燕巢學園快線,24,94,96,53
2009-05-05,E04燕巢學園快線,17,17,50,77
2009-05-06,E04燕巢學園快線,20,87,23,84
2009-05-07,E04燕巢學園快線,20,65,60,37
2009-05-08,E04燕巢學園快線,32,16,94,81
2009-05-09,E04燕巢學園快線,41,88,70,8
2009-05-10,E04燕巢學園快線,28,93,63,77
2009-05-11,E04燕巢學園快線,51,81,7,10
2009-05-12,E04燕巢學園快線,86,82,69,74
2009-05-13,E04燕巢學園快線,91,33,46,59
2009-05-14,E04燕巢學園快線,53,42,36,37
2009-05-15,E04燕巢學園快線,44,38,36,50
2009-05-16,E04燕巢學園快線,7,79,47,88
2009-05-17,E04燕巢學園快線,22,91,56,8
2009-05-18,E04燕巢學園快線,48,97,41,35
2009-05-19,E04燕巢學園快線,26,27,46,60
2009-05-20,E04燕巢學園快線,15,89,5,11
2009-05-21,E04燕巢學園快線,6,35,62,94
2009-05-22,E04燕巢學園快線,28,33,20,67
2009-05-23,E04燕巢學園快線,49,48,98,22
2009-05-24,E04燕巢學園快線,86,94,74,3
2009-05-25,E04燕巢學園快線,67,27,61,94
2009-05-26,E04燕巢學園快線,45,30,48,51
2009-05-27,E04燕巢學園快線,44,98,60,96
2009-05-28,E04燕巢學園快線,65,16,36,13
2009-05-29,E04燕巢學園快線,6,19,71,50
2009-05-30,E04燕巢學園快線,30,11,87,84
2009-05-31,E04燕巢學園快線,84,83,7,88
2009-06-01,E04燕巢學園快線,82,13,44,83
2009-06-02,E04燕巢學園快線,97,55,58,88
2009-06-03,E04燕巢學園快線,59,93,70,22
2009-06-04,E04燕巢學園快線,100,61,29,9
2009-06-05,E04燕巢學園快線,11,68,2,64
2009-06-06,E04燕巢學園快線,87,72,79,77
2009-06-07,E04燕巢學園快線,40,31,48,52
2009-06-08,E04燕巢學園快線,73,24,36,94
2009-06-09,E04燕巢學園快線,23,23,22,98
2009-06-10,E04燕巢學園快線,18,10,89,82
2009-06-11,E04燕巢學園快線,34,74,44,6
2009-06-12,E04燕巢學園快線,84,36,31,44
2009-06-13,E04燕巢學園快線,73,67,80,6
2009-06-14,E04燕巢學園快線,94,27,69,91
2009-06-15,E04燕巢學園快線,89,41,73,98
2009-06-16,E04燕巢學園快線,18,20,89,4
2009-06-17,E04燕巢學園快線,39,38,91,43
2009-06-18,E04燕巢學園快線,2,37,57,21
2009-06-19,E04燕巢學園快線,30,13,50,17
2009-06-20,E04燕巢學園快線,78,53,51,85
2009-06-21,E04燕巢學園快線,12,19,77,48
