,status,bus_age,route_name,yyyymmdd,count
41,值勤中,電巴車齡3年,60覺民幹線,2012-03-08,97
42,備用中,電巴車齡3年,60覺民幹線,2012-03-08,51
43,閒置中,電巴車齡3年,60覺民幹線,2012-03-08,95
44,充電中,電巴車齡3年,60覺民幹線,2012-03-09,94
45,值勤中,電巴車齡3年,60覺民幹線,2012-03-09,14
46,備用中,電巴車齡3年,60覺民幹線,2012-03-09,36
47,閒置中,電巴車齡3年,60覺民幹線,2012-03-09,81
48,充電中,電巴車齡3年,60覺民幹線,2012-03-10,61
49,值勤中,電巴車齡3年,60覺民幹線,2012-03-10,33
50,備用中,電巴車齡3年,60覺民幹線,2012-03-10,69
51,閒置中,電巴車齡3年,60覺民幹線,2012-03-10,48
52,充電中,電巴車齡3年,60覺民幹線,2012-03-11,1
53,值勤中,電巴車齡3年,60覺民幹線,2012-03-11,50
54,備用中,電巴車齡3年,60覺民幹線,2012-03-11,26
55,閒置中,電巴車齡3年,60覺民幹線,2012-03-11,2
56,充電中,電巴車齡3年,60覺民幹線,2012-03-12,6
57,值勤中,電巴車齡3年,60覺民幹線,2012-03-12,72
58,備用中,電巴車齡3年,60覺民幹線,2012-03-12,68
59,閒置中,電巴車齡3年,60覺民幹線,2012-03-12,44
60,充電中,電巴車齡3年,60覺民幹線,2012-03-13,10
61,值勤中,電巴車齡3年,60覺民幹線,2012-03-13,96
62,備用中,電巴車齡3年,60覺民幹線,2012-03-13,3
63,閒置中,電巴車齡3年,60覺民幹線,2012-03-13,58
64,充電中,電巴車齡3年,60覺民幹線,2012-03-14,16
65,值勤中,電巴車齡3年,60覺民幹線,2012-03-14,5
66,備用中,電巴車齡3年,60覺民幹線,2012-03-14,45
67,閒置中,電巴車齡3年,60覺民幹線,2012-03-14,3
68,充電中,電巴車齡3年,60覺民幹線,2012-03-15,15
69,值勤中,電巴車齡3年,60覺民幹線,2012-03-15,24
70,備用中,電巴車齡3年,60覺民幹線,2012-03-15,84
71,閒置中,電巴車齡3年,60覺民幹線,2012-03-15,37
72,充電中,電巴車齡3年,60覺民幹線,2012-03-16,39
73,值勤中,電巴車齡3年,60覺民幹線,2012-03-16,20
74,備用中,電巴車齡3年,60覺民幹線,2012-03-16,31
75,閒置中,電巴車齡3年,60覺民幹線,2012-03-16,71
76,充電中,電巴車齡3年,60覺民幹線,2012-03-17,45
77,值勤中,電巴車齡3年,60覺民幹線,2012-03-17,59
78,備用中,電巴車齡3年,60覺民幹線,2012-03-17,25
79,閒置中,電巴車齡3年,60覺民幹線,2012-03-17,37
80,充電中,電巴車齡3年,60覺民幹線,2012-03-18,36
81,值勤中,電巴車齡3年,60覺民幹線,2012-03-18,46
82,備用中,電巴車齡3年,60覺民幹線,2012-03-18,98
83,閒置中,電巴車齡3年,60覺民幹線,2012-03-18,57
84,充電中,電巴車齡3年,60覺民幹線,2012-03-19,3
85,值勤中,電巴車齡3年,60覺民幹線,2012-03-19,30
86,備用中,電巴車齡3年,60覺民幹線,2012-03-19,32
87,閒置中,電巴車齡3年,60覺民幹線,2012-03-19,2
88,充電中,電巴車齡3年,60覺民幹線,2012-03-20,5
89,值勤中,電巴車齡3年,60覺民幹線,2012-03-20,62
90,備用中,電巴車齡3年,60覺民幹線,2012-03-20,51
91,閒置中,電巴車齡3年,60覺民幹線,2012-03-20,1
92,充電中,電巴車齡3年,60覺民幹線,2012-03-21,32
93,值勤中,電巴車齡3年,60覺民幹線,2012-03-21,83
94,備用中,電巴車齡3年,60覺民幹線,2012-03-21,84
95,閒置中,電巴車齡3年,60覺民幹線,2012-03-21,67
96,充電中,電巴車齡3年,60覺民幹線,2012-03-22,53
97,值勤中,電巴車齡3年,60覺民幹線,2012-03-22,77
98,備用中,電巴車齡3年,60覺民幹線,2012-03-22,39
99,閒置中,電巴車齡3年,60覺民幹線,2012-03-22,78
100,充電中,電巴車齡3年,60覺民幹線,2012-03-23,61
101,值勤中,電巴車齡3年,60覺民幹線,2012-03-23,91
102,備用中,電巴車齡3年,60覺民幹線,2012-03-23,93
103,閒置中,電巴車齡3年,60覺民幹線,2012-03-23,77
104,充電中,電巴車齡3年,60覺民幹線,2012-03-24,28
105,值勤中,電巴車齡3年,60覺民幹線,2012-03-24,46
106,備用中,電巴車齡3年,60覺民幹線,2012-03-24,14
107,閒置中,電巴車齡3年,60覺民幹線,2012-03-24,89
108,充電中,電巴車齡3年,60覺民幹線,2012-03-25,59
109,值勤中,電巴車齡3年,60覺民幹線,2012-03-25,86
110,備用中,電巴車齡3年,60覺民幹線,2012-03-25,68
111,閒置中,電巴車齡3年,60覺民幹線,2012-03-25,50
112,充電中,電巴車齡3年,60覺民幹線,2012-03-26,12
113,值勤中,電巴車齡3年,60覺民幹線,2012-03-26,87
114,備用中,電巴車齡3年,60覺民幹線,2012-03-26,46
115,閒置中,電巴車齡3年,60覺民幹線,2012-03-26,3
116,充電中,電巴車齡3年,60覺民幹線,2012-03-27,2
117,值勤中,電巴車齡3年,60覺民幹線,2012-03-27,6
118,備用中,電巴車齡3年,60覺民幹線,2012-03-27,13
119,閒置中,電巴車齡3年,60覺民幹線,2012-03-27,3
120,充電中,電巴車齡3年,60覺民幹線,2012-03-28,29
121,值勤中,電巴車齡3年,60覺民幹線,2012-03-28,25
122,備用中,電巴車齡3年,60覺民幹線,2012-03-28,77
123,閒置中,電巴車齡3年,60覺民幹線,2012-03-28,94
124,充電中,電巴車齡3年,60覺民幹線,2012-03-29,67
125,值勤中,電巴車齡3年,60覺民幹線,2012-03-29,80
126,備用中,電巴車齡3年,60覺民幹線,2012-03-29,38
127,閒置中,電巴車齡3年,60覺民幹線,2012-03-29,24
128,充電中,電巴車齡3年,60覺民幹線,2012-03-30,34
129,值勤中,電巴車齡3年,60覺民幹線,2012-03-30,12
130,備用中,電巴車齡3年,60覺民幹線,2012-03-30,73
131,閒置中,電巴車齡3年,60覺民幹線,2012-03-30,33
132,充電中,電巴車齡3年,60覺民幹線,2012-03-31,94
133,值勤中,電巴車齡3年,60覺民幹線,2012-03-31,97
134,備用中,電巴車齡3年,60覺民幹線,2012-03-31,27
135,閒置中,電巴車齡3年,60覺民幹線,2012-03-31,35
136,充電中,電巴車齡3年,60覺民幹線,2012-04-01,52
137,值勤中,電巴車齡3年,60覺民幹線,2012-04-01,61
138,備用中,電巴車齡3年,60覺民幹線,2012-04-01,65
139,閒置中,電巴車齡3年,60覺民幹線,2012-04-01,35
140,充電中,電巴車齡3年,60覺民幹線,2012-04-02,44
141,值勤中,電巴車齡3年,60覺民幹線,2012-04-02,93
142,備用中,電巴車齡3年,60覺民幹線,2012-04-02,16
143,閒置中,電巴車齡3年,60覺民幹線,2012-04-02,19
144,充電中,電巴車齡3年,60覺民幹線,2012-04-03,49
145,值勤中,電巴車齡3年,60覺民幹線,2012-04-03,67
146,備用中,電巴車齡3年,60覺民幹線,2012-04-03,3
147,閒置中,電巴車齡3年,60覺民幹線,2012-04-03,72
148,充電中,電巴車齡3年,60覺民幹線,2012-04-04,25
149,值勤中,電巴車齡3年,60覺民幹線,2012-04-04,36
150,備用中,電巴車齡3年,60覺民幹線,2012-04-04,8
151,閒置中,電巴車齡3年,60覺民幹線,2012-04-04,87
152,充電中,電巴車齡3年,60覺民幹線,2012-04-05,20
153,值勤中,電巴車齡3年,60覺民幹線,2012-04-05,4
154,備用中,電巴車齡3年,60覺民幹線,2012-04-05,84
155,閒置中,電巴車齡3年,60覺民幹線,2012-04-05,99
156,充電中,電巴車齡3年,60覺民幹線,2012-04-06,78
157,值勤中,電巴車齡3年,60覺民幹線,2012-04-06,76
158,備用中,電巴車齡3年,60覺民幹線,2012-04-06,48
159,閒置中,電巴車齡3年,60覺民幹線,2012-04-06,54
160,充電中,電巴車齡3年,60覺民幹線,2012-04-07,90
161,值勤中,電巴車齡3年,60覺民幹線,2012-04-07,33
162,備用中,電巴車齡3年,60覺民幹線,2012-04-07,2
163,閒置中,電巴車齡3年,60覺民幹線,2012-04-07,79
164,充電中,電巴車齡3年,60覺民幹線,2012-04-08,80
165,值勤中,電巴車齡3年,60覺民幹線,2012-04-08,61
166,備用中,電巴車齡3年,60覺民幹線,2012-04-08,91
167,閒置中,電巴車齡3年,60覺民幹線,2012-04-08,11
168,充電中,電巴車齡3年,60覺民幹線,2012-04-09,13
169,值勤中,電巴車齡3年,60覺民幹線,2012-04-09,56
170,備用中,電巴車齡3年,60覺民幹線,2012-04-09,82
171,閒置中,電巴車齡3年,60覺民幹線,2012-04-09,29
172,充電中,電巴車齡3年,60覺民幹線,2012-04-10,85
173,值勤中,電巴車齡3年,60覺民幹線,2012-04-10,63
174,備用中,電巴車齡3年,60覺民幹線,2012-04-10,44
175,閒置中,電巴車齡3年,60覺民幹線,2012-04-10,83
176,充電中,電巴車齡3年,60覺民幹線,2012-04-11,69
177,值勤中,電巴車齡3年,60覺民幹線,2012-04-11,50
178,備用中,電巴車齡3年,60覺民幹線,2012-04-11,68
179,閒置中,電巴車齡3年,60覺民幹線,2012-04-11,60
180,充電中,電巴車齡3年,60覺民幹線,2012-04-12,99
181,值勤中,電巴車齡3年,60覺民幹線,2012-04-12,25
182,備用中,電巴車齡3年,60覺民幹線,2012-04-12,83
183,閒置中,電巴車齡3年,60覺民幹線,2012-04-12,40
184,充電中,電巴車齡3年,60覺民幹線,2012-04-13,64
185,值勤中,電巴車齡3年,60覺民幹線,2012-04-13,8
186,備用中,電巴車齡3年,60覺民幹線,2012-04-13,70
187,閒置中,電巴車齡3年,60覺民幹線,2012-04-13,53
188,充電中,電巴車齡3年,60覺民幹線,2012-04-14,95
189,值勤中,電巴車齡3年,60覺民幹線,2012-04-14,13
190,備用中,電巴車齡3年,60覺民幹線,2012-04-14,81
191,閒置中,電巴車齡3年,60覺民幹線,2012-04-14,99
192,充電中,電巴車齡3年,60覺民幹線,2012-04-15,79
193,值勤中,電巴車齡3年,60覺民幹線,2012-04-15,46
194,備用中,電巴車齡3年,60覺民幹線,2012-04-15,57
195,閒置中,電巴車齡3年,60覺民幹線,2012-04-15,43
196,充電中,電巴車齡3年,60覺民幹線,2012-04-16,53
197,值勤中,電巴車齡3年,60覺民幹線,2012-04-16,31
198,備用中,電巴車齡3年,60覺民幹線,2012-04-16,64
199,閒置中,電巴車齡3年,60覺民幹線,2012-04-16,34
200,充電中,電巴車齡3年,60覺民幹線,2012-04-17,51
201,值勤中,電巴車齡3年,60覺民幹線,2012-04-17,70
202,備用中,電巴車齡3年,60覺民幹線,2012-04-17,93
203,閒置中,電巴車齡3年,60覺民幹線,2012-04-17,68
204,充電中,電巴車齡3年,60覺民幹線,2012-04-18,14
205,值勤中,電巴車齡3年,60覺民幹線,2012-04-18,75
206,備用中,電巴車齡3年,60覺民幹線,2012-04-18,26
207,閒置中,電巴車齡3年,60覺民幹線,2012-04-18,13
208,充電中,電巴車齡3年,60覺民幹線,2012-04-19,80
209,值勤中,電巴車齡3年,60覺民幹線,2012-04-19,3
210,備用中,電巴車齡3年,60覺民幹線,2012-04-19,37
211,閒置中,電巴車齡3年,60覺民幹線,2012-04-19,94
212,充電中,電巴車齡3年,60覺民幹線,2012-04-20,9
213,值勤中,電巴車齡3年,60覺民幹線,2012-04-20,44
214,備用中,電巴車齡3年,60覺民幹線,2012-04-20,13
215,閒置中,電巴車齡3年,60覺民幹線,2012-04-20,16
216,充電中,電巴車齡3年,60覺民幹線,2012-04-21,39
217,值勤中,電巴車齡3年,60覺民幹線,2012-04-21,92
218,備用中,電巴車齡3年,60覺民幹線,2012-04-21,57
219,閒置中,電巴車齡3年,60覺民幹線,2012-04-21,39
220,充電中,電巴車齡3年,60覺民幹線,2012-04-22,45
221,值勤中,電巴車齡3年,60覺民幹線,2012-04-22,8
222,備用中,電巴車齡3年,60覺民幹線,2012-04-22,63
223,閒置中,電巴車齡3年,60覺民幹線,2012-04-22,71
224,充電中,電巴車齡3年,60覺民幹線,2012-04-23,17
225,值勤中,電巴車齡3年,60覺民幹線,2012-04-23,45
226,備用中,電巴車齡3年,60覺民幹線,2012-04-23,78
227,閒置中,電巴車齡3年,60覺民幹線,2012-04-23,76
228,充電中,電巴車齡3年,60覺民幹線,2012-04-24,60
229,值勤中,電巴車齡3年,60覺民幹線,2012-04-24,85
230,備用中,電巴車齡3年,60覺民幹線,2012-04-24,27
231,閒置中,電巴車齡3年,60覺民幹線,2012-04-24,7
232,充電中,電巴車齡3年,60覺民幹線,2012-04-25,91
233,值勤中,電巴車齡3年,60覺民幹線,2012-04-25,35
234,備用中,電巴車齡3年,60覺民幹線,2012-04-25,71
235,閒置中,電巴車齡3年,60覺民幹線,2012-04-25,36
236,充電中,電巴車齡3年,60覺民幹線,2012-04-26,100
237,值勤中,電巴車齡3年,60覺民幹線,2012-04-26,42
238,備用中,電巴車齡3年,60覺民幹線,2012-04-26,87
239,閒置中,電巴車齡3年,60覺民幹線,2012-04-26,90
240,充電中,電巴車齡3年,60覺民幹線,2012-04-27,6
241,值勤中,電巴車齡3年,60覺民幹線,2012-04-27,5
242,備用中,電巴車齡3年,60覺民幹線,2012-04-27,64
243,閒置中,電巴車齡3年,60覺民幹線,2012-04-27,25
244,充電中,電巴車齡3年,60覺民幹線,2012-04-28,74
245,值勤中,電巴車齡3年,60覺民幹線,2012-04-28,96
246,備用中,電巴車齡3年,60覺民幹線,2012-04-28,18
247,閒置中,電巴車齡3年,60覺民幹線,2012-04-28,51
248,充電中,電巴車齡3年,60覺民幹線,2012-04-29,96
249,值勤中,電巴車齡3年,60覺民幹線,2012-04-29,67
250,備用中,電巴車齡3年,60覺民幹線,2012-04-29,66
251,閒置中,電巴車齡3年,60覺民幹線,2012-04-29,43
252,充電中,電巴車齡3年,60覺民幹線,2012-04-30,63
253,值勤中,電巴車齡3年,60覺民幹線,2012-04-30,65
254,備用中,電巴車齡3年,60覺民幹線,2012-04-30,39
255,閒置中,電巴車齡3年,60覺民幹線,2012-04-30,65
256,充電中,電巴車齡3年,60覺民幹線,2012-05-01,33
257,值勤中,電巴車齡3年,60覺民幹線,2012-05-01,21
258,備用中,電巴車齡3年,60覺民幹線,2012-05-01,47
259,閒置中,電巴車齡3年,60覺民幹線,2012-05-01,98
260,充電中,電巴車齡3年,60覺民幹線,2012-05-02,89
261,值勤中,電巴車齡3年,60覺民幹線,2012-05-02,77
262,備用中,電巴車齡3年,60覺民幹線,2012-05-02,52
263,閒置中,電巴車齡3年,60覺民幹線,2012-05-02,36
264,充電中,電巴車齡3年,60覺民幹線,2012-05-03,5
265,值勤中,電巴車齡3年,60覺民幹線,2012-05-03,51
266,備用中,電巴車齡3年,60覺民幹線,2012-05-03,32
267,閒置中,電巴車齡3年,60覺民幹線,2012-05-03,8
268,充電中,電巴車齡3年,60覺民幹線,2012-05-04,85
269,值勤中,電巴車齡3年,60覺民幹線,2012-05-04,22
270,備用中,電巴車齡3年,60覺民幹線,2012-05-04,44
271,閒置中,電巴車齡3年,60覺民幹線,2012-05-04,87
272,充電中,電巴車齡3年,60覺民幹線,2012-05-05,43
273,值勤中,電巴車齡3年,60覺民幹線,2012-05-05,33
274,備用中,電巴車齡3年,60覺民幹線,2012-05-05,60
275,閒置中,電巴車齡3年,60覺民幹線,2012-05-05,83
276,充電中,電巴車齡3年,60覺民幹線,2012-05-06,10
277,值勤中,電巴車齡3年,60覺民幹線,2012-05-06,4
278,備用中,電巴車齡3年,60覺民幹線,2012-05-06,83
279,閒置中,電巴車齡3年,60覺民幹線,2012-05-06,6
280,充電中,電巴車齡3年,60覺民幹線,2012-05-07,60
281,值勤中,電巴車齡3年,60覺民幹線,2012-05-07,48
282,備用中,電巴車齡3年,60覺民幹線,2012-05-07,68
283,閒置中,電巴車齡3年,60覺民幹線,2012-05-07,86
284,充電中,電巴車齡3年,60覺民幹線,2012-05-08,23
285,值勤中,電巴車齡3年,60覺民幹線,2012-05-08,31
286,備用中,電巴車齡3年,60覺民幹線,2012-05-08,36
287,閒置中,電巴車齡3年,60覺民幹線,2012-05-08,19
288,充電中,電巴車齡3年,60覺民幹線,2012-05-09,8
289,值勤中,電巴車齡3年,60覺民幹線,2012-05-09,11
290,備用中,電巴車齡3年,60覺民幹線,2012-05-09,22
291,閒置中,電巴車齡3年,60覺民幹線,2012-05-09,43
292,充電中,電巴車齡3年,60覺民幹線,2012-05-10,1
293,值勤中,電巴車齡3年,60覺民幹線,2012-05-10,32
294,備用中,電巴車齡3年,60覺民幹線,2012-05-10,11
295,閒置中,電巴車齡3年,60覺民幹線,2012-05-10,91
296,充電中,電巴車齡3年,60覺民幹線,2012-05-11,96
297,值勤中,電巴車齡3年,60覺民幹線,2012-05-11,63
298,備用中,電巴車齡3年,60覺民幹線,2012-05-11,54
299,閒置中,電巴車齡3年,60覺民幹線,2012-05-11,52
300,充電中,電巴車齡3年,60覺民幹線,2012-05-12,27
301,值勤中,電巴車齡3年,60覺民幹線,2012-05-12,38
302,備用中,電巴車齡3年,60覺民幹線,2012-05-12,30
303,閒置中,電巴車齡3年,60覺民幹線,2012-05-12,63
304,充電中,電巴車齡3年,60覺民幹線,2012-05-13,37
305,值勤中,電巴車齡3年,60覺民幹線,2012-05-13,71
306,備用中,電巴車齡3年,60覺民幹線,2012-05-13,5
307,閒置中,電巴車齡3年,60覺民幹線,2012-05-13,4
308,充電中,電巴車齡3年,60覺民幹線,2012-05-14,77
309,值勤中,電巴車齡3年,60覺民幹線,2012-05-14,39
310,備用中,電巴車齡3年,60覺民幹線,2012-05-14,89
311,閒置中,電巴車齡3年,60覺民幹線,2012-05-14,62
312,充電中,電巴車齡3年,60覺民幹線,2012-05-15,50
313,值勤中,電巴車齡3年,60覺民幹線,2012-05-15,90
314,備用中,電巴車齡3年,60覺民幹線,2012-05-15,27
315,閒置中,電巴車齡3年,60覺民幹線,2012-05-15,28
316,充電中,電巴車齡3年,60覺民幹線,2012-05-16,79
317,值勤中,電巴車齡3年,60覺民幹線,2012-05-16,65
318,備用中,電巴車齡3年,60覺民幹線,2012-05-16,29
319,閒置中,電巴車齡3年,60覺民幹線,2012-05-16,14
320,充電中,電巴車齡3年,60覺民幹線,2012-05-17,22
321,值勤中,電巴車齡3年,60覺民幹線,2012-05-17,66
322,備用中,電巴車齡3年,60覺民幹線,2012-05-17,50
323,閒置中,電巴車齡3年,60覺民幹線,2012-05-17,89
324,充電中,電巴車齡3年,60覺民幹線,2012-05-18,31
325,值勤中,電巴車齡3年,60覺民幹線,2012-05-18,1
326,備用中,電巴車齡3年,60覺民幹線,2012-05-18,99
327,閒置中,電巴車齡3年,60覺民幹線,2012-05-18,89
328,充電中,電巴車齡3年,60覺民幹線,2012-05-19,59
329,值勤中,電巴車齡3年,60覺民幹線,2012-05-19,30
330,備用中,電巴車齡3年,60覺民幹線,2012-05-19,13
331,閒置中,電巴車齡3年,60覺民幹線,2012-05-19,93
332,充電中,電巴車齡3年,60覺民幹線,2012-05-20,78
333,值勤中,電巴車齡3年,60覺民幹線,2012-05-20,73
334,備用中,電巴車齡3年,60覺民幹線,2012-05-20,98
335,閒置中,電巴車齡3年,60覺民幹線,2012-05-20,24
336,充電中,電巴車齡3年,60覺民幹線,2012-05-21,50
337,值勤中,電巴車齡3年,60覺民幹線,2012-05-21,90
338,備用中,電巴車齡3年,60覺民幹線,2012-05-21,76
339,閒置中,電巴車齡3年,60覺民幹線,2012-05-21,23
340,充電中,電巴車齡3年,60覺民幹線,2012-05-22,83
341,值勤中,電巴車齡3年,60覺民幹線,2012-05-22,43
342,備用中,電巴車齡3年,60覺民幹線,2012-05-22,64
343,閒置中,電巴車齡3年,60覺民幹線,2012-05-22,89
344,充電中,電巴車齡3年,60覺民幹線,2012-05-23,7
345,值勤中,電巴車齡3年,60覺民幹線,2012-05-23,85
346,備用中,電巴車齡3年,60覺民幹線,2012-05-23,64
347,閒置中,電巴車齡3年,60覺民幹線,2012-05-23,87
348,充電中,電巴車齡3年,60覺民幹線,2012-05-24,29
349,值勤中,電巴車齡3年,60覺民幹線,2012-05-24,1
350,備用中,電巴車齡3年,60覺民幹線,2012-05-24,3
351,閒置中,電巴車齡3年,60覺民幹線,2012-05-24,98
352,充電中,電巴車齡3年,60覺民幹線,2012-05-25,58
353,值勤中,電巴車齡3年,60覺民幹線,2012-05-25,19
354,備用中,電巴車齡3年,60覺民幹線,2012-05-25,10
355,閒置中,電巴車齡3年,60覺民幹線,2012-05-25,82
356,充電中,電巴車齡3年,60覺民幹線,2012-05-26,39
357,值勤中,電巴車齡3年,60覺民幹線,2012-05-26,48
358,備用中,電巴車齡3年,60覺民幹線,2012-05-26,57
359,閒置中,電巴車齡3年,60覺民幹線,2012-05-26,51
360,充電中,電巴車齡3年,60覺民幹線,2012-05-27,43
361,值勤中,電巴車齡3年,60覺民幹線,2012-05-27,7
362,備用中,電巴車齡3年,60覺民幹線,2012-05-27,40
363,閒置中,電巴車齡3年,60覺民幹線,2012-05-27,37
364,充電中,電巴車齡3年,60覺民幹線,2012-05-28,44
365,值勤中,電巴車齡3年,60覺民幹線,2012-05-28,24
366,備用中,電巴車齡3年,60覺民幹線,2012-05-28,83
367,閒置中,電巴車齡3年,60覺民幹線,2012-05-28,45
368,充電中,電巴車齡3年,60覺民幹線,2012-05-29,92
369,值勤中,電巴車齡3年,60覺民幹線,2012-05-29,10
370,備用中,電巴車齡3年,60覺民幹線,2012-05-29,17
371,閒置中,電巴車齡3年,60覺民幹線,2012-05-29,86
372,充電中,電巴車齡3年,60覺民幹線,2012-05-30,92
373,值勤中,電巴車齡3年,60覺民幹線,2012-05-30,8
374,備用中,電巴車齡3年,60覺民幹線,2012-05-30,18
375,閒置中,電巴車齡3年,60覺民幹線,2012-05-30,25
376,充電中,電巴車齡3年,60覺民幹線,2012-05-31,41
377,值勤中,電巴車齡3年,60覺民幹線,2012-05-31,91
378,備用中,電巴車齡3年,60覺民幹線,2012-05-31,51
379,閒置中,電巴車齡3年,60覺民幹線,2012-05-31,53
380,充電中,電巴車齡3年,60覺民幹線,2012-06-01,81
381,值勤中,電巴車齡3年,60覺民幹線,2012-06-01,47
382,備用中,電巴車齡3年,60覺民幹線,2012-06-01,27
383,閒置中,電巴車齡3年,60覺民幹線,2012-06-01,75
384,充電中,電巴車齡3年,60覺民幹線,2012-06-02,18
385,值勤中,電巴車齡3年,60覺民幹線,2012-06-02,83
386,備用中,電巴車齡3年,60覺民幹線,2012-06-02,79
387,閒置中,電巴車齡3年,60覺民幹線,2012-06-02,85
388,充電中,電巴車齡3年,60覺民幹線,2012-06-03,14
389,值勤中,電巴車齡3年,60覺民幹線,2012-06-03,34
390,備用中,電巴車齡3年,60覺民幹線,2012-06-03,47
391,閒置中,電巴車齡3年,60覺民幹線,2012-06-03,48
392,充電中,電巴車齡3年,60覺民幹線,2012-06-04,57
393,值勤中,電巴車齡3年,60覺民幹線,2012-06-04,17
394,備用中,電巴車齡3年,60覺民幹線,2012-06-04,54
395,閒置中,電巴車齡3年,60覺民幹線,2012-06-04,94
396,充電中,電巴車齡3年,60覺民幹線,2012-06-05,17
397,值勤中,電巴車齡3年,60覺民幹線,2012-06-05,70
398,備用中,電巴車齡3年,60覺民幹線,2012-06-05,79
399,閒置中,電巴車齡3年,60覺民幹線,2012-06-05,59
400,充電中,電巴車齡3年,60覺民幹線,2012-06-06,84
401,值勤中,電巴車齡3年,60覺民幹線,2012-06-06,95
402,備用中,電巴車齡3年,60覺民幹線,2012-06-06,2
403,閒置中,電巴車齡3年,60覺民幹線,2012-06-06,65
404,充電中,電巴車齡3年,60覺民幹線,2012-06-07,90
405,值勤中,電巴車齡3年,60覺民幹線,2012-06-07,41
406,備用中,電巴車齡3年,60覺民幹線,2012-06-07,63
407,閒置中,電巴車齡3年,60覺民幹線,2012-06-07,47
408,充電中,電巴車齡3年,60覺民幹線,2012-06-08,73
409,值勤中,電巴車齡3年,60覺民幹線,2012-06-08,15
410,備用中,電巴車齡3年,60覺民幹線,2012-06-08,41
411,閒置中,電巴車齡3年,60覺民幹線,2012-06-08,76
412,充電中,電巴車齡3年,60覺民幹線,2012-06-09,85
413,值勤中,電巴車齡3年,60覺民幹線,2012-06-09,65
414,備用中,電巴車齡3年,60覺民幹線,2012-06-09,20
415,閒置中,電巴車齡3年,60覺民幹線,2012-06-09,70
416,充電中,電巴車齡3年,60覺民幹線,2012-06-10,93
417,值勤中,電巴車齡3年,60覺民幹線,2012-06-10,75
418,備用中,電巴車齡3年,60覺民幹線,2012-06-10,80
419,閒置中,電巴車齡3年,60覺民幹線,2012-06-10,31
420,充電中,電巴車齡3年,60覺民幹線,2012-06-11,85
421,值勤中,電巴車齡3年,60覺民幹線,2012-06-11,98
422,備用中,電巴車齡3年,60覺民幹線,2012-06-11,43
423,閒置中,電巴車齡3年,60覺民幹線,2012-06-11,66
424,充電中,電巴車齡3年,60覺民幹線,2012-06-12,90
425,值勤中,電巴車齡3年,60覺民幹線,2012-06-12,97
426,備用中,電巴車齡3年,60覺民幹線,2012-06-12,18
427,閒置中,電巴車齡3年,60覺民幹線,2012-06-12,42
428,充電中,電巴車齡3年,60覺民幹線,2012-06-13,84
