ts,bus_age,status,count
2023-10-16,電巴車齡1年,充電中,28
2023-10-17,電巴車齡1年,充電中,32
2023-10-18,電巴車齡1年,充電中,84
2023-10-19,電巴車齡1年,充電中,98
2023-10-20,電巴車齡1年,充電中,79
2023-10-21,電巴車齡1年,充電中,2
2023-10-22,電巴車齡1年,充電中,93
2023-10-23,電巴車齡1年,充電中,24
2023-10-24,電巴車齡1年,充電中,14
2023-10-25,電巴車齡1年,充電中,51
2023-10-26,電巴車齡1年,充電中,10
2023-10-27,電巴車齡1年,充電中,13
2023-10-28,電巴車齡1年,充電中,50
2023-10-29,電巴車齡1年,充電中,27
2023-10-30,電巴車齡1年,充電中,96
2023-10-31,電巴車齡1年,充電中,25
2023-11-01,電巴車齡1年,充電中,54
2023-11-02,電巴車齡1年,充電中,55
2023-11-03,電巴車齡1年,充電中,93
2023-11-04,電巴車齡1年,充電中,12
2023-11-05,電巴車齡1年,充電中,90
2023-11-06,電巴車齡1年,充電中,90
2023-11-07,電巴車齡1年,充電中,80
2023-11-08,電巴車齡1年,充電中,93
2023-11-09,電巴車齡1年,充電中,26
2023-11-10,電巴車齡1年,充電中,74
2023-11-11,電巴車齡1年,充電中,88
2023-11-12,電巴車齡1年,充電中,26
2023-11-13,電巴車齡1年,充電中,15
2023-11-14,電巴車齡1年,充電中,62
2023-11-15,電巴車齡1年,充電中,93
2023-11-16,電巴車齡1年,充電中,50
2023-11-17,電巴車齡1年,充電中,34
2023-11-18,電巴車齡1年,充電中,25
2023-11-19,電巴車齡1年,充電中,26
2023-11-20,電巴車齡1年,充電中,7
2023-11-21,電巴車齡1年,充電中,99
2023-11-22,電巴車齡1年,充電中,62
2023-11-23,電巴車齡1年,充電中,11
2023-11-24,電巴車齡1年,充電中,94
2023-11-25,電巴車齡1年,充電中,12
2023-11-26,電巴車齡1年,充電中,36
2023-11-27,電巴車齡1年,充電中,77
2023-11-28,電巴車齡1年,充電中,4
2023-11-29,電巴車齡1年,充電中,1
2023-11-30,電巴車齡1年,充電中,22
2023-12-01,電巴車齡1年,充電中,82
2023-12-02,電巴車齡1年,充電中,81
2023-12-03,電巴車齡1年,充電中,19
2023-12-04,電巴車齡1年,充電中,32
2023-12-05,電巴車齡1年,充電中,15
2023-12-06,電巴車齡1年,充電中,98
2023-12-07,電巴車齡1年,充電中,20
2023-12-08,電巴車齡1年,充電中,58
2023-12-09,電巴車齡1年,充電中,58
2023-12-10,電巴車齡1年,充電中,80
2023-12-11,電巴車齡1年,充電中,100
2023-12-12,電巴車齡1年,充電中,61
2023-12-13,電巴車齡1年,充電中,83
2023-12-14,電巴車齡1年,充電中,92
2023-12-15,電巴車齡1年,充電中,69
2023-12-16,電巴車齡1年,充電中,27
2023-12-17,電巴車齡1年,充電中,90
2023-12-18,電巴車齡1年,充電中,6
2023-12-19,電巴車齡1年,充電中,13
2023-12-20,電巴車齡1年,充電中,41
2023-12-21,電巴車齡1年,充電中,2
2023-12-22,電巴車齡1年,充電中,26
2023-12-23,電巴車齡1年,充電中,14
2023-12-24,電巴車齡1年,充電中,58
2023-12-25,電巴車齡1年,充電中,32
2023-12-26,電巴車齡1年,充電中,69
2023-12-27,電巴車齡1年,充電中,67
2023-12-28,電巴車齡1年,充電中,3
2023-12-29,電巴車齡1年,充電中,56
2023-12-30,電巴車齡1年,充電中,66
2023-05-30,電巴車齡1年,值勤中,14
2023-05-31,電巴車齡1年,值勤中,90
2023-06-01,電巴車齡1年,值勤中,62
2023-06-02,電巴車齡1年,值勤中,71
2023-06-03,電巴車齡1年,值勤中,74
2023-06-04,電巴車齡1年,值勤中,64
2023-06-05,電巴車齡1年,值勤中,25
2023-06-06,電巴車齡1年,值勤中,34
2023-06-07,電巴車齡1年,值勤中,84
2023-06-08,電巴車齡1年,值勤中,43
2023-06-09,電巴車齡1年,值勤中,65
2023-06-10,電巴車齡1年,值勤中,85
2023-06-11,電巴車齡1年,值勤中,70
2023-06-12,電巴車齡1年,值勤中,3
2023-06-13,電巴車齡1年,值勤中,65
2023-06-14,電巴車齡1年,值勤中,74
2023-06-15,電巴車齡1年,值勤中,30
2023-06-16,電巴車齡1年,值勤中,12
2023-06-17,電巴車齡1年,值勤中,78
2023-06-18,電巴車齡1年,值勤中,73
2023-06-19,電巴車齡1年,值勤中,9
2023-06-20,電巴車齡1年,值勤中,82
2023-06-21,電巴車齡1年,值勤中,62
2023-06-22,電巴車齡1年,值勤中,90
2023-06-23,電巴車齡1年,值勤中,1
2023-06-24,電巴車齡1年,值勤中,14
2023-06-25,電巴車齡1年,值勤中,34
2023-06-26,電巴車齡1年,值勤中,87
2023-06-27,電巴車齡1年,值勤中,65
2023-06-28,電巴車齡1年,值勤中,19
2023-06-29,電巴車齡1年,值勤中,56
2023-06-30,電巴車齡1年,值勤中,34
2023-07-01,電巴車齡1年,值勤中,23
2023-07-02,電巴車齡1年,值勤中,98
2023-07-03,電巴車齡1年,值勤中,60
2023-07-04,電巴車齡1年,值勤中,1
2023-07-05,電巴車齡1年,值勤中,93
2023-07-06,電巴車齡1年,值勤中,96
2023-07-07,電巴車齡1年,值勤中,60
2023-07-08,電巴車齡1年,值勤中,98
2023-07-09,電巴車齡1年,值勤中,3
2023-07-10,電巴車齡1年,值勤中,35
2023-07-11,電巴車齡1年,值勤中,59
2023-07-12,電巴車齡1年,值勤中,53
2023-07-13,電巴車齡1年,值勤中,6
2023-07-14,電巴車齡1年,值勤中,40
2023-07-15,電巴車齡1年,值勤中,63
2023-07-16,電巴車齡1年,值勤中,7
2023-07-17,電巴車齡1年,值勤中,96
2023-07-18,電巴車齡1年,值勤中,65
2023-07-19,電巴車齡1年,值勤中,74
2023-07-20,電巴車齡1年,值勤中,20
2023-07-21,電巴車齡1年,值勤中,62
2023-07-22,電巴車齡1年,值勤中,1
2023-07-23,電巴車齡1年,值勤中,55
2023-07-24,電巴車齡1年,值勤中,51
2023-07-25,電巴車齡1年,值勤中,21
2023-07-26,電巴車齡1年,值勤中,91
2023-07-27,電巴車齡1年,值勤中,33
2023-07-28,電巴車齡1年,值勤中,41
2023-07-29,電巴車齡1年,值勤中,87
2023-07-30,電巴車齡1年,值勤中,66
2023-07-31,電巴車齡1年,值勤中,21
2023-08-01,電巴車齡1年,值勤中,56
2023-08-02,電巴車齡1年,值勤中,46
2023-08-03,電巴車齡1年,值勤中,80
2023-08-04,電巴車齡1年,值勤中,54
2023-08-05,電巴車齡1年,值勤中,33
2023-08-06,電巴車齡1年,值勤中,74
2023-08-07,電巴車齡1年,值勤中,18
2023-08-08,電巴車齡1年,值勤中,89
2023-08-09,電巴車齡1年,值勤中,29
2023-08-10,電巴車齡1年,值勤中,77
2023-08-11,電巴車齡1年,值勤中,87
2023-08-12,電巴車齡1年,值勤中,40
2023-08-13,電巴車齡1年,值勤中,15
2023-08-14,電巴車齡1年,值勤中,19
2023-08-15,電巴車齡1年,值勤中,21
2023-08-16,電巴車齡1年,值勤中,62
2023-08-17,電巴車齡1年,值勤中,82
2023-08-18,電巴車齡1年,值勤中,49
2023-08-19,電巴車齡1年,值勤中,8
2023-08-20,電巴車齡1年,值勤中,26
2023-08-21,電巴車齡1年,值勤中,2
2023-08-22,電巴車齡1年,值勤中,58
2023-08-23,電巴車齡1年,值勤中,17
2023-08-24,電巴車齡1年,值勤中,96
2023-08-25,電巴車齡1年,值勤中,95
2023-08-26,電巴車齡1年,值勤中,28
2023-08-27,電巴車齡1年,值勤中,66
2023-08-28,電巴車齡1年,值勤中,5
2023-08-29,電巴車齡1年,值勤中,96
2023-08-30,電巴車齡1年,值勤中,51
2023-08-31,電巴車齡1年,值勤中,50
2023-09-01,電巴車齡1年,值勤中,43
2023-09-02,電巴車齡1年,值勤中,42
2023-09-03,電巴車齡1年,值勤中,19
2023-09-04,電巴車齡1年,值勤中,97
2023-09-05,電巴車齡1年,值勤中,83
2023-09-06,電巴車齡1年,值勤中,86
2023-09-07,電巴車齡1年,值勤中,79
2023-09-08,電巴車齡1年,值勤中,91
2023-09-09,電巴車齡1年,值勤中,88
2023-09-10,電巴車齡1年,值勤中,88
2023-09-11,電巴車齡1年,值勤中,80
2023-09-12,電巴車齡1年,值勤中,39
2023-09-13,電巴車齡1年,值勤中,41
2023-09-14,電巴車齡1年,值勤中,24
2023-09-15,電巴車齡1年,值勤中,46
2023-09-16,電巴車齡1年,值勤中,76
2023-09-17,電巴車齡1年,值勤中,28
2023-09-18,電巴車齡1年,值勤中,94
2023-09-19,電巴車齡1年,值勤中,24
2023-09-20,電巴車齡1年,值勤中,21
2023-09-21,電巴車齡1年,值勤中,73
2023-09-22,電巴車齡1年,值勤中,80
2023-09-23,電巴車齡1年,值勤中,10
2023-09-24,電巴車齡1年,值勤中,20
2023-09-25,電巴車齡1年,值勤中,42
2023-09-26,電巴車齡1年,值勤中,55
2023-09-27,電巴車齡1年,值勤中,90
2023-09-28,電巴車齡1年,值勤中,71
2023-09-29,電巴車齡1年,值勤中,13
2023-09-30,電巴車齡1年,值勤中,30
2023-10-01,電巴車齡1年,值勤中,99
2023-10-02,電巴車齡1年,值勤中,36
2023-10-03,電巴車齡1年,值勤中,66
2023-10-04,電巴車齡1年,值勤中,72
2023-10-05,電巴車齡1年,值勤中,81
2023-10-06,電巴車齡1年,值勤中,51
2023-10-07,電巴車齡1年,值勤中,27
2023-10-08,電巴車齡1年,值勤中,37
2023-10-09,電巴車齡1年,值勤中,83
2023-10-10,電巴車齡1年,值勤中,43
2023-10-11,電巴車齡1年,值勤中,61
2023-10-12,電巴車齡1年,值勤中,79
2023-10-13,電巴車齡1年,值勤中,93
2023-10-14,電巴車齡1年,值勤中,37
2023-10-15,電巴車齡1年,值勤中,87
2023-10-16,電巴車齡1年,值勤中,15
2023-10-17,電巴車齡1年,值勤中,44
2023-10-18,電巴車齡1年,值勤中,39
2023-10-19,電巴車齡1年,值勤中,35
2023-10-20,電巴車齡1年,值勤中,15
2023-10-21,電巴車齡1年,值勤中,66
2023-10-22,電巴車齡1年,值勤中,59
2023-10-23,電巴車齡1年,值勤中,17
2023-10-24,電巴車齡1年,值勤中,43
2023-10-25,電巴車齡1年,值勤中,52
2023-10-26,電巴車齡1年,值勤中,68
2023-10-27,電巴車齡1年,值勤中,62
2023-10-28,電巴車齡1年,值勤中,94
2023-10-29,電巴車齡1年,值勤中,1
2023-10-30,電巴車齡1年,值勤中,98
2023-10-31,電巴車齡1年,值勤中,53
2023-11-01,電巴車齡1年,值勤中,23
2023-11-02,電巴車齡1年,值勤中,27
2023-11-03,電巴車齡1年,值勤中,21
2023-11-04,電巴車齡1年,值勤中,63
2023-11-05,電巴車齡1年,值勤中,63
2023-11-06,電巴車齡1年,值勤中,9
2023-11-07,電巴車齡1年,值勤中,49
2023-11-08,電巴車齡1年,值勤中,81
2023-11-09,電巴車齡1年,值勤中,99
2023-11-10,電巴車齡1年,值勤中,4
2023-11-11,電巴車齡1年,值勤中,6
2023-11-12,電巴車齡1年,值勤中,85
2023-11-13,電巴車齡1年,值勤中,30
2023-11-14,電巴車齡1年,值勤中,46
2023-11-15,電巴車齡1年,值勤中,68
2023-11-16,電巴車齡1年,值勤中,27
2023-11-17,電巴車齡1年,值勤中,60
2023-11-18,電巴車齡1年,值勤中,11
2023-11-19,電巴車齡1年,值勤中,12
2023-11-20,電巴車齡1年,值勤中,6
2023-11-21,電巴車齡1年,值勤中,52
2023-11-22,電巴車齡1年,值勤中,88
2023-11-23,電巴車齡1年,值勤中,34
2023-11-24,電巴車齡1年,值勤中,32
2023-11-25,電巴車齡1年,值勤中,18
2023-11-26,電巴車齡1年,值勤中,61
2023-11-27,電巴車齡1年,值勤中,62
2023-11-28,電巴車齡1年,值勤中,11
2023-11-29,電巴車齡1年,值勤中,65
2023-11-30,電巴車齡1年,值勤中,32
2023-12-01,電巴車齡1年,值勤中,96
2023-12-02,電巴車齡1年,值勤中,22
2023-12-03,電巴車齡1年,值勤中,19
2023-12-04,電巴車齡1年,值勤中,74
2023-12-05,電巴車齡1年,值勤中,18
2023-12-06,電巴車齡1年,值勤中,24
2023-12-07,電巴車齡1年,值勤中,21
2023-12-08,電巴車齡1年,值勤中,17
2023-12-09,電巴車齡1年,值勤中,6
2023-12-10,電巴車齡1年,值勤中,73
2023-12-11,電巴車齡1年,值勤中,25
2023-12-12,電巴車齡1年,值勤中,66
2023-12-13,電巴車齡1年,值勤中,23
2023-12-14,電巴車齡1年,值勤中,15
2023-12-15,電巴車齡1年,值勤中,59
2023-12-16,電巴車齡1年,值勤中,61
2023-12-17,電巴車齡1年,值勤中,57
2023-12-18,電巴車齡1年,值勤中,48
2023-12-19,電巴車齡1年,值勤中,18
2023-12-20,電巴車齡1年,值勤中,68
2023-12-21,電巴車齡1年,值勤中,99
2023-12-22,電巴車齡1年,值勤中,27
2023-12-23,電巴車齡1年,值勤中,59
2023-12-24,電巴車齡1年,值勤中,46
2023-12-25,電巴車齡1年,值勤中,42
2023-12-26,電巴車齡1年,值勤中,17
2023-12-27,電巴車齡1年,值勤中,32
2023-12-28,電巴車齡1年,值勤中,73
2023-12-29,電巴車齡1年,值勤中,87
2023-12-30,電巴車齡1年,值勤中,40
2023-05-30,電巴車齡1年,閒置中,97
2023-05-31,電巴車齡1年,閒置中,71
2023-06-01,電巴車齡1年,閒置中,58
2023-06-02,電巴車齡1年,閒置中,88
2023-06-03,電巴車齡1年,閒置中,96
2023-06-04,電巴車齡1年,閒置中,15
2023-06-05,電巴車齡1年,閒置中,49
2023-06-06,電巴車齡1年,閒置中,18
2023-06-07,電巴車齡1年,閒置中,43
2023-06-08,電巴車齡1年,閒置中,81
2023-06-09,電巴車齡1年,閒置中,69
2023-06-10,電巴車齡1年,閒置中,54
2023-06-11,電巴車齡1年,閒置中,7
2023-06-12,電巴車齡1年,閒置中,87
2023-06-13,電巴車齡1年,閒置中,10
2023-06-14,電巴車齡1年,閒置中,86
2023-06-15,電巴車齡1年,閒置中,96
2023-06-16,電巴車齡1年,閒置中,4
2023-06-17,電巴車齡1年,閒置中,10
2023-06-18,電巴車齡1年,閒置中,85
2023-06-19,電巴車齡1年,閒置中,11
2023-06-20,電巴車齡1年,閒置中,82
2023-06-21,電巴車齡1年,閒置中,97
2023-06-22,電巴車齡1年,閒置中,91
2023-06-23,電巴車齡1年,閒置中,98
2023-06-24,電巴車齡1年,閒置中,65
2023-06-25,電巴車齡1年,閒置中,66
2023-06-26,電巴車齡1年,閒置中,46
2023-06-27,電巴車齡1年,閒置中,79
2023-06-28,電巴車齡1年,閒置中,91
2023-06-29,電巴車齡1年,閒置中,10
2023-06-30,電巴車齡1年,閒置中,5
2023-07-01,電巴車齡1年,閒置中,6
2023-07-02,電巴車齡1年,閒置中,4
2023-07-03,電巴車齡1年,閒置中,1
2023-07-04,電巴車齡1年,閒置中,56
2023-07-05,電巴車齡1年,閒置中,39
2023-07-06,電巴車齡1年,閒置中,82
2023-07-07,電巴車齡1年,閒置中,15
2023-07-08,電巴車齡1年,閒置中,68
2023-07-09,電巴車齡1年,閒置中,72
2023-07-10,電巴車齡1年,閒置中,90
2023-07-11,電巴車齡1年,閒置中,56
2023-07-12,電巴車齡1年,閒置中,71
2023-07-13,電巴車齡1年,閒置中,7
2023-07-14,電巴車齡1年,閒置中,44
2023-07-15,電巴車齡1年,閒置中,26
2023-07-16,電巴車齡1年,閒置中,95
2023-07-17,電巴車齡1年,閒置中,48
2023-07-18,電巴車齡1年,閒置中,57
2023-07-19,電巴車齡1年,閒置中,79
2023-07-20,電巴車齡1年,閒置中,56
2023-07-21,電巴車齡1年,閒置中,85
2023-07-22,電巴車齡1年,閒置中,30
2023-07-23,電巴車齡1年,閒置中,7
2023-07-24,電巴車齡1年,閒置中,87
2023-07-25,電巴車齡1年,閒置中,48
2023-07-26,電巴車齡1年,閒置中,22
2023-07-27,電巴車齡1年,閒置中,100
2023-07-28,電巴車齡1年,閒置中,95
2023-07-29,電巴車齡1年,閒置中,9
2023-07-30,電巴車齡1年,閒置中,48
2023-07-31,電巴車齡1年,閒置中,83
2023-08-01,電巴車齡1年,閒置中,71
2023-08-02,電巴車齡1年,閒置中,18
2023-08-03,電巴車齡1年,閒置中,65
2023-08-04,電巴車齡1年,閒置中,17
2023-08-05,電巴車齡1年,閒置中,41
2023-08-06,電巴車齡1年,閒置中,35
2023-08-07,電巴車齡1年,閒置中,28
2023-08-08,電巴車齡1年,閒置中,35
2023-08-09,電巴車齡1年,閒置中,84
2023-08-10,電巴車齡1年,閒置中,30
2023-08-11,電巴車齡1年,閒置中,24
2023-08-12,電巴車齡1年,閒置中,85
2023-08-13,電巴車齡1年,閒置中,11
2023-08-14,電巴車齡1年,閒置中,79
2023-08-15,電巴車齡1年,閒置中,46
2023-08-16,電巴車齡1年,閒置中,96
2023-08-17,電巴車齡1年,閒置中,17
2023-08-18,電巴車齡1年,閒置中,38
2023-08-19,電巴車齡1年,閒置中,42
2023-08-20,電巴車齡1年,閒置中,84
2023-08-21,電巴車齡1年,閒置中,10
2023-08-22,電巴車齡1年,閒置中,59
2023-08-23,電巴車齡1年,閒置中,61
2023-08-24,電巴車齡1年,閒置中,73
2023-08-25,電巴車齡1年,閒置中,72
2023-08-26,電巴車齡1年,閒置中,14
2023-08-27,電巴車齡1年,閒置中,83
2023-08-28,電巴車齡1年,閒置中,65
2023-08-29,電巴車齡1年,閒置中,11
2023-08-30,電巴車齡1年,閒置中,12
2023-08-31,電巴車齡1年,閒置中,50
2023-09-01,電巴車齡1年,閒置中,61
2023-09-02,電巴車齡1年,閒置中,61
2023-09-03,電巴車齡1年,閒置中,18
2023-09-04,電巴車齡1年,閒置中,94
2023-09-05,電巴車齡1年,閒置中,31
2023-09-06,電巴車齡1年,閒置中,36
2023-09-07,電巴車齡1年,閒置中,49
2023-09-08,電巴車齡1年,閒置中,93
2023-09-09,電巴車齡1年,閒置中,15
2023-09-10,電巴車齡1年,閒置中,5
2023-09-11,電巴車齡1年,閒置中,31
2023-09-12,電巴車齡1年,閒置中,40
2023-09-13,電巴車齡1年,閒置中,49
2023-09-14,電巴車齡1年,閒置中,79
2023-09-15,電巴車齡1年,閒置中,8
2023-09-16,電巴車齡1年,閒置中,97
2023-09-17,電巴車齡1年,閒置中,1
2023-09-18,電巴車齡1年,閒置中,46
2023-09-19,電巴車齡1年,閒置中,93
2023-09-20,電巴車齡1年,閒置中,93
2023-09-21,電巴車齡1年,閒置中,44
2023-09-22,電巴車齡1年,閒置中,72
2023-09-23,電巴車齡1年,閒置中,83
2023-09-24,電巴車齡1年,閒置中,39
2023-09-25,電巴車齡1年,閒置中,36
2023-09-26,電巴車齡1年,閒置中,61
2023-09-27,電巴車齡1年,閒置中,69
2023-09-28,電巴車齡1年,閒置中,52
2023-09-29,電巴車齡1年,閒置中,26
2023-09-30,電巴車齡1年,閒置中,12
2023-10-01,電巴車齡1年,閒置中,82
2023-10-02,電巴車齡1年,閒置中,99
2023-10-03,電巴車齡1年,閒置中,64
2023-10-04,電巴車齡1年,閒置中,28
2023-10-05,電巴車齡1年,閒置中,10
2023-10-06,電巴車齡1年,閒置中,82
2023-10-07,電巴車齡1年,閒置中,22
2023-10-08,電巴車齡1年,閒置中,28
2023-10-09,電巴車齡1年,閒置中,81
2023-10-10,電巴車齡1年,閒置中,71
2023-10-11,電巴車齡1年,閒置中,31
2023-10-12,電巴車齡1年,閒置中,18
2023-10-13,電巴車齡1年,閒置中,89
2023-10-14,電巴車齡1年,閒置中,30
2023-10-15,電巴車齡1年,閒置中,14
2023-10-16,電巴車齡1年,閒置中,87
2023-10-17,電巴車齡1年,閒置中,81
2023-10-18,電巴車齡1年,閒置中,4
2023-10-19,電巴車齡1年,閒置中,58
2023-10-20,電巴車齡1年,閒置中,75
2023-10-21,電巴車齡1年,閒置中,99
2023-10-22,電巴車齡1年,閒置中,69
2023-10-23,電巴車齡1年,閒置中,100
2023-10-24,電巴車齡1年,閒置中,54
2023-10-25,電巴車齡1年,閒置中,1
2023-10-26,電巴車齡1年,閒置中,66
2023-10-27,電巴車齡1年,閒置中,38
2023-10-28,電巴車齡1年,閒置中,43
2023-10-29,電巴車齡1年,閒置中,45
2023-10-30,電巴車齡1年,閒置中,98
2023-10-31,電巴車齡1年,閒置中,55
2023-11-01,電巴車齡1年,閒置中,48
2023-11-02,電巴車齡1年,閒置中,67
2023-11-03,電巴車齡1年,閒置中,11
2023-11-04,電巴車齡1年,閒置中,23
2023-11-05,電巴車齡1年,閒置中,23
2023-11-06,電巴車齡1年,閒置中,45
2023-11-07,電巴車齡1年,閒置中,26
2023-11-08,電巴車齡1年,閒置中,97
2023-11-09,電巴車齡1年,閒置中,44
2023-11-10,電巴車齡1年,閒置中,94
2023-11-11,電巴車齡1年,閒置中,75
2023-11-12,電巴車齡1年,閒置中,32
2023-11-13,電巴車齡1年,閒置中,11
2023-11-14,電巴車齡1年,閒置中,26
2023-11-15,電巴車齡1年,閒置中,97
2023-11-16,電巴車齡1年,閒置中,100
2023-11-17,電巴車齡1年,閒置中,91
2023-11-18,電巴車齡1年,閒置中,15
2023-11-19,電巴車齡1年,閒置中,98
2023-11-20,電巴車齡1年,閒置中,98
2023-11-21,電巴車齡1年,閒置中,54
2023-11-22,電巴車齡1年,閒置中,54
2023-11-23,電巴車齡1年,閒置中,1
2023-11-24,電巴車齡1年,閒置中,12
2023-11-25,電巴車齡1年,閒置中,33
2023-11-26,電巴車齡1年,閒置中,95
2023-11-27,電巴車齡1年,閒置中,6
2023-11-28,電巴車齡1年,閒置中,73
2023-11-29,電巴車齡1年,閒置中,29
2023-11-30,電巴車齡1年,閒置中,54
2023-12-01,電巴車齡1年,閒置中,31
2023-12-02,電巴車齡1年,閒置中,29
